时间,重心位置
2.6226043701171875e-06,0.0
0.018028974533081055,0.12
0.036327362060546875,0.12
0.058911800384521484,0.12
0.07649087905883789,0.12
0.10082697868347168,0.12
0.12151265144348145,0.12
0.1396946907043457,0.12
0.16054821014404297,0.12
0.18133783340454102,0.12
0.20183086395263672,0.12
0.22134065628051758,0.12
0.24258852005004883,0.12
0.26268529891967773,0.12
0.28095364570617676,0.12
0.3062288761138916,0.12
0.32572388648986816,0.12
0.3451411724090576,0.12
0.36850786209106445,0.12
0.38736939430236816,0.12
0.41057276725769043,0.12
0.43067359924316406,0.12
0.4497411251068115,0.12
0.4702270030975342,0.12
0.4977598190307617,0.12
0.5100505352020264,0.12
0.5301704406738281,0.12
0.5489480495452881,0.12
0.5902190208435059,0.12
0.6445200443267822,0.12
0.6913752555847168,0.1
0.7348849773406982,0.09
0.7770960330963135,0.08
0.8193333148956299,0.08
0.8651735782623291,0.08
0.9119136333465576,0.08
0.9543256759643555,0.08
1.0037875175476074,0.08
1.0472300052642822,0.09
1.0943350791931152,0.09
1.1444120407104492,0.09
1.203965425491333,0.1
1.2492079734802246,0.1
1.2950408458709717,0.1
1.3382692337036133,0.11
1.3870701789855957,0.11
1.434403657913208,0.11
1.4869263172149658,0.11
1.5378611087799072,0.11
1.5963141918182373,0.11
1.6450445652008057,0.11
1.69083571434021,0.11
1.7322947978973389,0.11
1.781294822692871,0.11
1.8291428089141846,0.11
1.8745603561401367,0.11
1.9223816394805908,0.11
1.9660608768463135,0.11
2.0069022178649902,0.11
2.051128387451172,0.11
2.09574031829834,0.11
2.1447901725769043,0.11
2.194491386413574,0.11
2.24155330657959,0.11
2.2838239669799805,0.11
2.3309075832366943,0.11
2.3728909492492676,0.11
2.4153618812561035,0.11
2.464404821395874,0.11
2.508655309677124,0.11
2.549814462661743,0.11
2.595064878463745,0.11
2.6361401081085205,0.11
2.6764256954193115,0.11
2.723625659942627,0.11
2.7689602375030518,0.11
2.8088631629943848,0.11
2.8500611782073975,0.11
2.89577317237854,0.11
2.9400241374969482,0.11
2.9820544719696045,0.11
3.028459072113037,0.11
3.0707035064697266,0.11
3.112903356552124,0.11
3.153634548187256,0.11
3.193726062774658,0.11
3.2346253395080566,0.11
3.280039072036743,0.11
3.3243587017059326,0.11
3.369941473007202,0.11
3.41446590423584,0.11
