时间,踝关节位置,小腿关节位置,大腿关节位置,髋关节位置
1.1920928955078125e-06,-0.54,0.2,0.0,0.35
0.018469810485839844,-0.54,0.2,0.0,0.35
0.037628889083862305,-0.54,0.2,0.0,0.35
0.057617902755737305,-0.55,0.2,0.0,0.35
0.07800149917602539,-0.55,0.2,0.0,0.35
0.10175848007202148,-0.55,0.2,0.0,0.35
0.12164473533630371,-0.55,0.2,0.0,0.35
0.14111042022705078,-0.55,0.2,0.0,0.35
0.16168832778930664,-0.55,0.2,0.0,0.35
0.1817028522491455,-0.55,0.2,0.0,0.35
0.2010817527770996,-0.55,0.2,0.0,0.35
0.22454118728637695,-0.55,0.2,0.0,0.35
0.24320721626281738,-0.55,0.2,0.0,0.35
0.2626657485961914,-0.55,0.2,0.0,0.35
0.2830698490142822,-0.55,0.2,0.0,0.35
0.3073558807373047,-0.55,0.2,0.0,0.35
0.32665467262268066,-0.55,0.2,-0.0,0.35
0.3468470573425293,-0.55,0.2,-0.0,0.35
0.36919140815734863,-0.55,0.2,-0.0,0.35
0.3887062072753906,-0.55,0.2,-0.0,0.35
0.4112851619720459,-0.55,0.2,-0.0,0.35
0.43242883682250977,-0.55,0.2,-0.0,0.35
0.4516561031341553,-0.55,0.2,-0.0,0.35
0.47516775131225586,-0.55,0.2,-0.0,0.35
0.4913039207458496,-0.55,0.2,-0.0,0.35
0.5106346607208252,-0.55,0.2,-0.0,0.35
0.530797004699707,-0.55,0.2,-0.0,0.35
0.5500502586364746,-0.55,0.2,-0.0,0.35
0.5920510292053223,-0.72,0.42,0.0,0.33
0.6487030982971191,-0.94,0.62,0.01,0.43
0.6947286128997803,-1.07,0.71,0.01,0.51
0.7383191585540771,-1.14,0.76,0.01,0.56
0.7809977531433105,-1.15,0.76,0.02,0.59
0.8237466812133789,-1.12,0.73,0.02,0.59
0.868912935256958,-1.07,0.69,0.02,0.58
0.9148216247558594,-1.01,0.64,0.02,0.57
0.958125114440918,-0.95,0.59,0.02,0.54
1.008021593093872,-0.88,0.53,0.02,0.52
1.0517067909240723,-0.82,0.49,0.02,0.49
1.0981502532958984,-0.77,0.44,0.02,0.47
1.1499757766723633,-0.73,0.41,0.02,0.45
1.207223892211914,-0.7,0.38,0.02,0.44
1.252345323562622,-0.68,0.36,0.02,0.43
1.2987196445465088,-0.66,0.35,0.02,0.42
1.3420894145965576,-0.64,0.33,0.02,0.41
1.3911454677581787,-0.63,0.33,0.03,0.41
1.4393479824066162,-0.63,0.32,0.03,0.41
1.4910130500793457,-0.63,0.32,0.03,0.41
1.5440528392791748,-0.62,0.32,0.03,0.4
1.5998287200927734,-0.62,0.32,0.03,0.41
1.6480517387390137,-0.62,0.32,0.03,0.41
1.6940228939056396,-0.62,0.32,0.03,0.41
1.7370376586914062,-0.63,0.33,0.03,0.41
1.7853236198425293,-0.63,0.33,0.03,0.41
1.8316841125488281,-0.63,0.33,0.03,0.41
1.8779501914978027,-0.63,0.33,0.03,0.41
1.9258735179901123,-0.63,0.33,0.03,0.41
1.969663143157959,-0.63,0.33,0.03,0.41
2.010315179824829,-0.63,0.33,0.03,0.41
2.056847333908081,-0.63,0.33,0.03,0.41
2.099259853363037,-0.63,0.33,0.03,0.41
2.1485397815704346,-0.63,0.33,0.03,0.41
2.198806047439575,-0.63,0.33,0.03,0.41
2.2458508014678955,-0.63,0.33,0.03,0.41
2.2869060039520264,-0.63,0.33,0.03,0.41
2.333937406539917,-0.63,0.33,0.03,0.41
2.376331090927124,-0.63,0.33,0.03,0.41
2.418130397796631,-0.63,0.33,0.03,0.41
2.467315196990967,-0.63,0.33,0.03,0.41
2.5113346576690674,-0.63,0.33,0.03,0.41
2.5537309646606445,-0.63,0.33,0.03,0.41
2.598921775817871,-0.63,0.33,0.03,0.41
2.638960838317871,-0.63,0.33,0.03,0.41
2.679992437362671,-0.63,0.33,0.03,0.41
2.72729754447937,-0.63,0.33,0.03,0.41
2.771831750869751,-0.63,0.33,0.03,0.41
2.811913013458252,-0.63,0.33,0.03,0.41
2.8542816638946533,-0.64,0.33,0.03,0.41
2.8991987705230713,-0.64,0.33,0.03,0.41
2.9436967372894287,-0.64,0.33,0.03,0.41
2.9856534004211426,-0.64,0.33,0.03,0.41
3.031512498855591,-0.64,0.33,0.03,0.41
3.0739128589630127,-0.64,0.33,0.03,0.41
3.1162960529327393,-0.64,0.32,0.03,0.41
3.1564862728118896,-0.64,0.32,0.03,0.41
3.1973814964294434,-0.64,0.32,0.03,0.41
3.2388668060302734,-0.64,0.32,0.03,0.41
3.2836310863494873,-0.64,0.32,0.03,0.41
3.32902455329895,-0.64,0.32,0.03,0.41
3.3733508586883545,-0.64,0.32,0.03,0.41
3.4178898334503174,-0.64,0.32,0.03,0.41
